"x","y"
"4347.714584","1.88E-15"
"4349.569996","9.70E-16"
"4351.425409","1.06E-15"
"4353.280821","1.16E-15"
"4355.136234","1.27E-15"
"4356.991646","1.29E-15"
"4358.847059","1.01E-15"
"4360.702471","1.18E-15"
"4362.557884","2.12E-15"
"4364.413296","2.81E-15"
"4366.268709","2.78E-15"
"4368.124121","2.05E-15"
"4369.979534","1.07E-15"
"4371.834946","1.06E-15"
"4373.690359","9.55E-16"
"4375.545771","1.09E-15"
"4377.401184","1.31E-15"
"4379.256596","1.77E-15"
"4381.112009","1.86E-15"
"4382.967421","1.14E-15"
"4384.822834","1.03E-15"
"4386.678246","9.72E-16"
"4388.533659","1.20E-15"
"4390.389071","1.43E-15"
"4392.244484","1.20E-15"
"4394.099896","1.13E-15"
"4395.955309","1.15E-15"
"4397.810721","1.19E-15"
"4399.666134","8.30E-16"
"4401.521546","9.37E-16"
"4403.376959","6.78E-16"
"4405.232371","7.56E-16"
"4407.087784","9.92E-16"
"4408.943196","9.37E-16"
"4410.798609","9.69E-16"
"4412.654021","1.14E-15"
"4414.509434","1.10E-15"
"4416.364846","7.51E-16"
"4418.220259","1.02E-15"
"4420.075671","1.13E-15"
"4421.931084","7.61E-16"
"4423.786496","1.23E-15"
"4425.641909","1.23E-15"
"4427.497321","6.74E-16"
"4429.352734","6.92E-16"
"4431.208146","7.44E-16"
"4433.063559","1.00E-15"
"4434.918971","1.12E-15"
"4436.774384","9.79E-16"
"4438.629796","1.03E-15"
"4440.485209","1.12E-15"
"4442.340621","1.08E-15"
"4444.196034","1.02E-15"
"4446.051446","1.17E-15"
"4447.906858","1.12E-15"
"4449.762271","1.05E-15"
"4451.617683","1.31E-15"
"4453.473096","1.49E-15"
"4455.328508","1.29E-15"
"4457.183921","1.21E-15"
"4459.039333","1.00E-15"
"4460.894746","9.65E-16"
"4462.750158","1.04E-15"
"4464.605571","1.25E-15"
"4466.460983","1.15E-15"
"4468.316396","9.82E-16"
"4470.171808","9.41E-16"
"4472.027221","1.10E-15"
"4473.882633","1.06E-15"
"4475.738046","1.41E-15"
"4477.593458","1.18E-15"
"4479.448871","1.17E-15"
"4481.304283","1.16E-15"
"4483.159696","9.97E-16"
"4485.015108","9.76E-16"
"4486.870521","1.09E-15"
